id,Country,Year,Type of event,Sum of Total affected,Sum of Total Damage
Afghanistan,2001,Earthquake,2001-0233-AFG,270,0
Afghanistan,2002,Earthquake,2002-0122-AFG,3513,0
Afghanistan,2002,Earthquake,2002-0175-AFG,91228,0
Afghanistan,2002,Earthquake,2002-0208-AFG,6150,0
Afghanistan,2002,Flood,2002-0185-AFG,120,0
Afghanistan,2002,Flood,2002-0196-AFG,4225,0
Afghanistan,2002,Flood,2002-0242-AFG,1200,0
Afghanistan,2002,Flood,2002-0613-AFG,0,0
Afghanistan,2003,Earthquake,2003-0236-AFG,1001,0
Afghanistan,2003,Flood,2003-0104-AFG,0,0
Afghanistan,2003,Flood,2003-0143-AFG,2000,0
Afghanistan,2003,Flood,2003-0179-AFG,1000,0
Afghanistan,2003,Flood,2003-0256-AFG,400,0
Afghanistan,2003,Flood,2003-0302-AFG,100,0
Afghanistan,2003,Flood,2003-0337-AFG,250,0
Afghanistan,2003,Flood,2003-0392-AFG,3,0
Afghanistan,2003,Flood,2003-0778-AFG,0,0
Afghanistan,2004,Earthquake,2004-0436-AFG,1040,0
Afghanistan,2004,Flood,2004-0022-AFG,2500,0
Afghanistan,2004,Flood,2004-0349-AFG,2000,0
Afghanistan,2005,Earthquake,2005-0575-AFG,0,50
Afghanistan,2005,Earthquake,2005-0686-AFG,501,0
Afghanistan,2005,Flood,2005-0101-AFG,1500,0
Afghanistan,2005,Flood,2005-0169-AFG,11003,0
Afghanistan,2005,Flood,2005-0281-AFG,500,0
Afghanistan,2005,Flood,2005-0322-AFG,5040,0
Afghanistan,2005,Flood,2005-0360-AFG,0,0
Afghanistan,2005,Flood,2005-0511-AFG,0,0
Afghanistan,2005,Flood,2005-0725-AFG,150,0
Afghanistan,2005,Flood,2005-0736-AFG,125,0
Afghanistan,2005,Storm,2005-0044-AFG,22656,5000
Afghanistan,2006,Drought,2006-9570-AFG,1900000,0
Afghanistan,2006,Earthquake,2006-0405-AFG,935,0
Afghanistan,2006,Flood,2006-0221-AFG,5025,0
Afghanistan,2006,Flood,2006-0271-AFG,615,0
Afghanistan,2006,Flood,2006-0291-AFG,1735,0
Afghanistan,2006,Flood,2006-0365-AFG,0,0
Afghanistan,2006,Flood,2006-0416-AFG,8000,0
Afghanistan,2006,Flood,2006-0424-AFG,20,0
Afghanistan,2006,Flood,2006-0596-AFG,17580,0
Afghanistan,2006,Storm,2006-0029-AFG,0,0
Afghanistan,2006,Storm,2006-0068-AFG,0,0
Afghanistan,2007,Flood,2007-0105-AFG,20000,0
Afghanistan,2007,Flood,2007-0178-AFG,2950,0
Afghanistan,2007,Flood,2007-0185-AFG,645,0
Afghanistan,2007,Flood,2007-0192-AFG,0,0
Afghanistan,2007,Flood,2007-0248-AFG,4000,0
Afghanistan,2007,Flood,2007-0316-AFG,2500,0
Afghanistan,2007,Flood,2007-0672-AFG,160,0
Afghanistan,2008,Drought,2008-9475-AFG,280000,0
Afghanistan,2008,Flood,2008-0488-AFG,1180,0
Afghanistan,2009,Earthquake,2009-0156-AFG,3309,0
Afghanistan,2009,Flood,2009-0139-AFG,2500,0
Afghanistan,2009,Flood,2009-0168-AFG,60016,20000
Afghanistan,2009,Flood,2009-0385-AFG,0,0
Afghanistan,2010,Earthquake,2010-0669-AFG,1070,0
Afghanistan,2010,Flood,2010-0176-AFG,40000,0
Afghanistan,2010,Flood,2010-0367-AFG,5000,0
Afghanistan,2011,Drought,2011-9312-AFG,1750000,142000
Afghanistan,2011,Flood,2011-0042-AFG,3065,0
Afghanistan,2011,Flood,2011-0632-AFG,9745,0
Afghanistan,2011,Storm,2011-0642-AFG,5,0
Afghanistan,2012,Earthquake,2012-0164-AFG,3548,0
Afghanistan,2012,Flood,2012-0102-AFG,230,0
Afghanistan,2012,Flood,2012-0143-AFG,27769,0
Afghanistan,2012,Flood,2012-0154-AFG,13151,0
Afghanistan,2012,Flood,2012-0183-AFG,0,0
Afghanistan,2012,Flood,2012-0226-AFG,4300,0
Afghanistan,2012,Flood,2012-0573-AFG,5700,0
Afghanistan,2013,Earthquake,2013-0151-AFG,3531,0
Afghanistan,2013,Flood,2013-0148-AFG,5000,0
Afghanistan,2013,Flood,2013-0178-AFG,9500,0
Afghanistan,2013,Flood,2013-0279-AFG,2597,0
Afghanistan,2013,Flood,2013-0343-AFG,0,0
Afghanistan,2014,Flood,2014-0134-AFG,140100,0
Afghanistan,2014,Flood,2014-0185-AFG,1955,3000
Afghanistan,2014,Storm,2014-0084-AFG,0,0
Afghanistan,2015,Earthquake,2015-0476-AFG,92725,0
Afghanistan,2015,Earthquake,2015-0571-AFG,407,0
Afghanistan,2015,Flood,2015-0581-AFG,3010,0
Afghanistan,2016,Flood,2016-0112-AFG,0,0
Afghanistan,2016,Flood,2016-0135-AFG,0,0
Afghanistan,2016,Flood,2016-0191-AFG,0,0
Afghanistan,2016,Flood,2016-0309-AFG,0,0
Afghanistan,2017,Flood,2017-0288-AFG,1822,0
Afghanistan,2017,Storm,2017-0038-AFG,0,0
Afghanistan,2017,Storm,2017-0071-AFG,9055,0
Afghanistan,2018,Drought,2018-9278-AFG,13500000,0
Afghanistan,2018,Flood,2018-0156-AFG,4000,0
Afghanistan,2018,Flood,2018-0212-AFG,0,0
Afghanistan,2018,Flood,2018-0350-AFG,0,0
Afghanistan,2019,Flood,2019-0050-AFG,0,0
Afghanistan,2019,Flood,2019-0082-AFG,129100,0
Afghanistan,2019,Flood,2019-0125-AFG,0,0
Afghanistan,2019,Flood,2019-0143-AFG,1281,0
Afghanistan,2019,Flood,2019-0216-AFG,0,0
Afghanistan,2019,Flood,2019-0255-AFG,561,0
Afghanistan,2020,Flood,2020-0124-AFG,18031,0
Afghanistan,2020,Flood,2020-0142-AFG,0,0
Afghanistan,2020,Flood,2020-0153-AFG,5500,0
Afghanistan,2020,Flood,2020-0311-AFG,100,0
Afghanistan,2020,Flood,2020-0377-AFG,20445,0
Afghanistan,2020,Storm,2020-0009-AFG,7481,0
Afghanistan,2021,Drought,2021-9116-AFG,11000000,0
Afghanistan,2021,Flood,2021-0263-AFG,30833,0
Afghanistan,2021,Flood,2021-0453-AFG,4200,0
Afghanistan,2022,Earthquake,2022-0027-AFG,4004,0
Afghanistan,2022,Earthquake,2022-0342-AFG,364623,0
Afghanistan,2022,Flood,2022-0264-AFG,810,0
Afghanistan,2022,Flood,2022-0442-AFG,14554,0
Afghanistan,2022,Flood,2022-0453-AFG,20,0
Afghanistan,2022,Flood,2022-0514-AFG,250024,0
Afghanistan,2022,Flood,2022-0523-AFG,1379,0
Afghanistan,2023,Earthquake,2023-0156-AFG,3345,0
Afghanistan,2023,Earthquake,2023-0636-AFG,569240,0
Afghanistan,2023,Earthquake,2023-0660-AFG,140,0
Afghanistan,2023,Flood,2023-0291-AFG,1525,0
Afghanistan,2023,Flood,2023-0462-AFG,126024,0
Afghanistan,2024,Flood,2024-0120-AFG,3152,0
Afghanistan,2024,Flood,2024-0181-AFG,1920,0
Afghanistan,2024,Flood,2024-0285-AFG,258422,0
Afghanistan,2024,Flood,2024-0310-AFG,39005,0
Afghanistan,2024,Flood,2024-0486-AFG,10005,0
Algeria,2001,Flood,2001-0620-DZA,45423,300000
Algeria,2002,Flood,2002-0540-DZA,2301,1500
Algeria,2002,Flood,2002-0648-DZA,4,0
Algeria,2003,Earthquake,2003-0245-DZA,210261,5000000
Algeria,2003,Earthquake,2003-0255-DZA,200,0
Algeria,2003,Flood,2003-0160-DZA,50,0
Algeria,2003,Flood,2003-0396-DZA,0,0
Algeria,2003,Flood,2003-0503-DZA,0,0
Algeria,2003,Storm,2003-0059-DZA,0,0
Algeria,2004,Earthquake,2004-0011-DZA,300,0
Algeria,2004,Earthquake,2004-0620-DZA,15,0
Algeria,2004,Flood,2004-0201-DZA,27545,0
Algeria,2004,Flood,2004-0567-DZA,20,0
Algeria,2005,Flood,2005-0095-DZA,70,0
Algeria,2005,Flood,2005-0324-DZA,1750,7256
Algeria,2005,Storm,2005-0078-DZA,5,0
Algeria,2006,Earthquake,2006-0149-DZA,319,0
Algeria,2006,Flood,2006-0088-DZA,60000,1200
Algeria,2007,Flood,2007-0116-DZA,0,0
Algeria,2007,Flood,2007-0141-DZA,0,13561
Algeria,2007,Flood,2007-0344-DZA,0,0
Algeria,2007,Flood,2007-0353-DZA,102,0
Algeria,2007,Flood,2007-0449-DZA,0,29500
Algeria,2007,Flood,2007-0568-DZA,1203,0
Algeria,2008,Flood,2008-0444-DZA,59050,348000
Algeria,2009,Flood,2009-0019-DZA,2548,0
Algeria,2009,Flood,2009-0394-DZA,0,0
Algeria,2011,Flood,2011-0408-DZA,793,779000
Algeria,2012,Flood,2012-0034-DZA,45,0
Algeria,2012,Flood,2012-0441-DZA,56,0
Algeria,2014,Earthquake,2014-0298-DZA,420,0
Algeria,2015,Flood,2015-0437-DZA,0,0
Algeria,2015,Flood,2015-0482-DZA,35000,0
Algeria,2018,Flood,2018-0162-DZA,200,0
Algeria,2020,Earthquake,2020-0579-DZA,15000,0
Algeria,2021,Flood,2021-0132-DZA,2500,0
Algeria,2021,Flood,2021-0700-DZA,420,0
Algeria,2023,Flood,2023-0580-DZA,1668,0
Algeria,2024,Flood,2024-0146-DZA,1000,0
Algeria,2024,Flood,2024-0672-DZA,11000,0
Angola,2001,Drought,2001-9152-AGO,0,0
Angola,2001,Flood,2001-0146-AGO,39928,0
Angola,2003,Flood,2003-0072-AGO,600,0
Angola,2003,Flood,2003-0570-AGO,225,0
Angola,2004,Drought,2004-9480-AGO,25000,0
Angola,2004,Flood,2004-0019-AGO,331700,0
Angola,2004,Flood,2004-0159-AGO,0,0
Angola,2004,Flood,2004-0661-AGO,2000,0
Angola,2005,Flood,2005-0137-AGO,10000,0
Angola,2006,Flood,2006-0023-AGO,225,0
Angola,2007,Flood,2007-0010-AGO,6000,0
Angola,2007,Flood,2007-0027-AGO,40000,0
Angola,2008,Flood,2008-0060-AGO,81400,0
Angola,2009,Flood,2009-0037-AGO,415,0
Angola,2009,Flood,2009-0092-AGO,220000,0
Angola,2009,Flood,2009-0550-AGO,4650,0
Angola,2010,Flood,2010-0105-AGO,110886,0
Angola,2010,Flood,2010-0126-AGO,75000,0
Angola,2010,Flood,2010-0553-AGO,3895,0
Angola,2011,Flood,2011-0003-AGO,0,0
Angola,2011,Flood,2011-0092-AGO,65084,0
Angola,2011,Flood,2011-0523-AGO,5500,0
Angola,2011,Flood,2011-0526-AGO,20100,0
Angola,2012,Drought,2012-9065-AGO,1833900,0
Angola,2013,Flood,2013-0124-AGO,1000,0
Angola,2015,Flood,2015-0075-AGO,2000,0
Angola,2015,Flood,2015-0090-AGO,2000,0
Angola,2015,Flood,2015-0091-AGO,1000,0
Angola,2016,Flood,2016-0056-AGO,0,0
Angola,2016,Flood,2016-0088-AGO,2755,0
Angola,2016,Flood,2016-0131-AGO,5600,0
Angola,2016,Flood,2016-0247-AGO,1544,0
Angola,2017,Drought,2017-9207-AGO,1420000,0
Angola,2017,Flood,2017-0109-AGO,30250,2000
Angola,2018,Flood,2018-0104-AGO,3000,0
Angola,2019,Flood,2019-0070-AGO,4255,0
Angola,2019,Flood,2019-0123-AGO,1075,0
Angola,2019,Flood,2019-0666-AGO,11190,0
Angola,2020,Drought,2020-9206-AGO,1643316,0
Angola,2020,Flood,2020-0104-AGO,10000,0
Angola,2020,Flood,2020-0173-AGO,10600,0
Angola,2021,Flood,2021-0164-AGO,1770,0
Angola,2021,Flood,2021-0238-AGO,8167,0
Angola,2023,Flood,2023-0247-AGO,44450,0
Angola,2023,Flood,2023-0844-AGO,26460,0
Angola,2024,Drought,2024-9592-AGO,2800000,0
Azerbaijan,2003,Flood,2003-0212-AZE,31500,55000
Azerbaijan,2009,Flood,2009-0425-AZE,5000,0
Azerbaijan,2010,Flood,2010-0204-AZE,70000,0
Azerbaijan,2012,Earthquake,2012-0191-AZE,15550,0
Azerbaijan,2012,Earthquake,2012-0545-AZE,6949,0
Bangladesh,2001,Flood,2001-0393-BGD,500000,0
Bangladesh,2001,Flood,2001-0459-BGD,200000,0
Bangladesh,2001,Storm,2001-0198-BGD,200,0
Bangladesh,2001,Storm,2001-0202-BGD,2500,0
Bangladesh,2001,Storm,2001-0273-BGD,600,0
Bangladesh,2001,Storm,2001-0563-BGD,25450,0
Bangladesh,2002,Flood,2002-0402-BGD,1500000,0
Bangladesh,2002,Storm,2002-0211-BGD,1000,0
Bangladesh,2002,Storm,2002-0233-BGD,100400,0
Bangladesh,2002,Storm,2002-0425-BGD,0,0
Bangladesh,2002,Storm,2002-0705-BGD,0,0
Bangladesh,2003,Earthquake,2003-0452-BGD,2525,0
Bangladesh,2003,Flood,2003-0283-BGD,50000,0
Bangladesh,2003,Flood,2003-0303-BGD,500000,0
Bangladesh,2003,Storm,2003-0211-BGD,400,0
Bangladesh,2003,Storm,2003-0779-BGD,0,0
Bangladesh,2004,Earthquake,2004-0659-BGD,0,500000
Bangladesh,2004,Flood,2004-0298-BGD,36000000,2200000
Bangladesh,2004,Flood,2004-0470-BGD,600000,0
Bangladesh,2004,Flood,2004-0509-BGD,271700,0
Bangladesh,2004,Storm,2004-0166-BGD,13000,0
Bangladesh,2004,Storm,2004-0286-BGD,50,0
Bangladesh,2004,Storm,2004-0678-BGD,4050,0
Bangladesh,2004,Storm,2004-0679-BGD,1100,0
Bangladesh,2005,Flood,2005-0261-BGD,50000,0
Bangladesh,2005,Flood,2005-0375-BGD,1000000,0
Bangladesh,2005,Flood,2005-0590-BGD,100000,0
Bangladesh,2005,Storm,2005-0130-BGD,11500,0
Bangladesh,2005,Storm,2005-0190-BGD,10500,0
Bangladesh,2005,Storm,2005-0259-BGD,6,0
Bangladesh,2005,Storm,2005-0273-BGD,100,0
Bangladesh,2005,Storm,2005-0282-BGD,1500,0
Bangladesh,2005,Storm,2005-0391-BGD,0,0
Bangladesh,2005,Storm,2005-0537-BGD,12000,0
Bangladesh,2006,Flood,2006-0262-BGD,76000,0
Bangladesh,2006,Flood,2006-0502-BGD,135775,0
Bangladesh,2006,Storm,2006-0146-BGD,5899,0
Bangladesh,2006,Storm,2006-0510-BGD,9135,0
Bangladesh,2006,Storm,2006-0737-BGD,1465,0
Bangladesh,2006,Storm,2006-0738-BGD,1500,0
Bangladesh,2006,Storm,2006-0739-BGD,150,0
Bangladesh,2007,Flood,2007-0161-BGD,80060,14000
Bangladesh,2007,Flood,2007-0311-BGD,13771380,100000
Bangladesh,2007,Storm,2007-0227-BGD,225,0
Bangladesh,2007,Storm,2007-0556-BGD,8978541,2300000
Bangladesh,2008,Flood,2008-0285-BGD,20002,0
Bangladesh,2008,Flood,2008-0385-BGD,615638,0
Bangladesh,2008,Storm,2008-0644-BGD,200,0
Bangladesh,2008,Storm,2008-0648-BGD,200,0
Bangladesh,2009,Drought,2009-9323-BGD,0,0
Bangladesh,2009,Flood,2009-0294-BGD,500000,0
Bangladesh,2009,Flood,2009-0304-BGD,0,0
Bangladesh,2009,Storm,2009-0157-BGD,19209,0
Bangladesh,2009,Storm,2009-0204-BGD,3935341,270000
Bangladesh,2010,Flood,2010-0269-BGD,75000,0
Bangladesh,2010,Flood,2010-0676-BGD,500000,0
Bangladesh,2010,Storm,2010-0171-BGD,247110,0
Bangladesh,2010,Storm,2010-0205-BGD,10000,0
Bangladesh,2010,Storm,2010-0686-BGD,50,0
Bangladesh,2011,Flood,2011-0262-BGD,1570559,0
Bangladesh,2011,Storm,2011-0591-BGD,121,0
Bangladesh,2012,Flood,2012-0175-BGD,5148475,0
Bangladesh,2012,Flood,2012-0382-BGD,250000,0
Bangladesh,2012,Storm,2012-0082-BGD,55121,0
Bangladesh,2012,Storm,2012-0385-BGD,129558,0
Bangladesh,2013,Storm,2013-0085-BGD,8543,20000
Bangladesh,2013,Storm,2013-0090-BGD,25020,0
Bangladesh,2013,Storm,2013-0138-BGD,1498644,0
Bangladesh,2014,Flood,2014-0290-BGD,2800447,160000
Bangladesh,2014,Flood,2014-0581-BGD,400000,0
Bangladesh,2014,Storm,2014-0135-BGD,4012,0
Bangladesh,2014,Storm,2014-0244-BGD,1250,0
Bangladesh,2015,Earthquake,2015-0144-BGD,200,0
Bangladesh,2015,Flood,2015-0253-BGD,1401901,40000
Bangladesh,2015,Flood,2015-0293-BGD,10000,0
Bangladesh,2015,Storm,2015-0118-BGD,20200,4000
Bangladesh,2015,Storm,2015-0213-BGD,0,0
Bangladesh,2015,Storm,2015-0309-BGD,2600000,40000
Bangladesh,2015,Storm,2015-0601-BGD,40050,0
Bangladesh,2016,Earthquake,2016-0002-BGD,70,0
Bangladesh,2016,Flood,2016-0288-BGD,1900000,150000
Bangladesh,2016,Storm,2016-0154-BGD,0,0
Bangladesh,2016,Storm,2016-0175-BGD,1203555,600000
Bangladesh,2017,Flood,2017-0138-BGD,86025,128000
Bangladesh,2017,Flood,2017-0342-BGD,8000000,500000
Bangladesh,2017,Storm,2017-0139-BGD,0,0
Bangladesh,2017,Storm,2017-0152-BGD,3300012,0
Bangladesh,2018,Flood,2018-0158-BGD,14000,0
Bangladesh,2018,Flood,2018-0203-BGD,0,0
Bangladesh,2018,Storm,2018-0140-BGD,0,0
Bangladesh,2019,Flood,2019-0337-BGD,7600000,75000
Bangladesh,2019,Storm,2019-0144-BGD,0,0
Bangladesh,2019,Storm,2019-0164-BGD,10045,0
Bangladesh,2019,Storm,2019-0550-BGD,251506,5785
Bangladesh,2020,Flood,2020-0323-BGD,5448271,500000
Bangladesh,2020,Storm,2020-0211-BGD,2600000,1500000
Bangladesh,2021,Flood,2021-0455-BGD,268744,0
Bangladesh,2021,Storm,2021-0295-BGD,1300000,0
Bangladesh,2022,Flood,2022-0340-BGD,7200000,462500
Bangladesh,2022,Storm,2022-0695-BGD,1000000,0
Bangladesh,2023,Flood,2023-0512-BGD,1000006,0
Bangladesh,2023,Storm,2023-0254-BGD,0,0
Bangladesh,2023,Storm,2023-0294-BGD,750012,1000
Bangladesh,2023,Storm,2023-0686-BGD,1500000,250000
Bangladesh,2024,Flood,2024-0399-BGD,5130000,34000
Bangladesh,2024,Flood,2024-0624-BGD,5820000,155600
Bangladesh,2024,Flood,2024-0719-BGD,238931,0
Bangladesh,2024,Storm,2024-0320-BGD,4590013,90700
Bangladesh,2024,Storm,2024-0778-BGD,0,0
Bosnia and Herzegovina,2001,Flood,2001-0783-BIH,9000,0
Bosnia and Herzegovina,2003,Drought,2003-9784-BIH,62575,140000
Bosnia and Herzegovina,2004,Flood,2004-0163-BIH,275000,0
Bosnia and Herzegovina,2004,Flood,2004-0169-BIH,3000,0
Bosnia and Herzegovina,2005,Flood,2005-0695-BIH,3100,0
Bosnia and Herzegovina,2005,Storm,2005-0045-BIH,0,0
Bosnia and Herzegovina,2009,Flood,2009-0081-BIH,2630,0
Bosnia and Herzegovina,2009,Flood,2009-0268-BIH,1100,0
Bosnia and Herzegovina,2010,Flood,2010-0252-BIH,14910,87000
Bosnia and Herzegovina,2010,Flood,2010-0619-BIH,20000,0
Bosnia and Herzegovina,2014,Flood,2014-0128-BIH,0,0
Bosnia and Herzegovina,2014,Flood,2014-0164-BIH,1000000,436580
Bosnia and Herzegovina,2014,Flood,2014-0306-BIH,600,0
Bosnia and Herzegovina,2014,Flood,2014-0329-BIH,0,0
Bosnia and Herzegovina,2015,Flood,2015-0465-BIH,0,0
Bosnia and Herzegovina,2019,Flood,2019-0194-BIH,600,0
Bosnia and Herzegovina,2019,Flood,2019-0287-BIH,159,0
Bosnia and Herzegovina,2020,Flood,2020-0285-BIH,15000,0
Bosnia and Herzegovina,2021,Flood,2021-0725-BIH,250000,0
Bosnia and Herzegovina,2022,Earthquake,2022-0231-BIH,1052,26000
Bosnia and Herzegovina,2022,Flood,2022-0825-BIH,3000,0
Bosnia and Herzegovina,2023,Flood,2023-0321-BIH,10000,0
Bosnia and Herzegovina,2023,Storm,2023-0460-BIH,20,0
Bosnia and Herzegovina,2024,Flood,2024-0718-BIH,5000,10000
Bulgaria,2001,Storm,2001-0701-BGR,0,0
Bulgaria,2002,Flood,2002-0552-BGR,0,1000
Bulgaria,2005,Flood,2005-0265-BGR,0,10000
Bulgaria,2005,Flood,2005-0338-BGR,200,247000
Bulgaria,2005,Flood,2005-0473-BGR,0,200000
Bulgaria,2005,Flood,2005-0545-BGR,0,0
Bulgaria,2005,Flood,2005-0727-BGR,12000,0
Bulgaria,2005,Storm,2005-0045-BGR,0,0
Bulgaria,2006,Earthquake,2006-0148-BGR,527,0
Bulgaria,2006,Flood,2006-0156-BGR,0,0
Bulgaria,2006,Flood,2006-0209-BGR,0,0
Bulgaria,2007,Flood,2007-0171-BGR,1000,0
Bulgaria,2007,Flood,2007-0322-BGR,10,0
Bulgaria,2007,Flood,2007-0554-BGR,60,0
Bulgaria,2010,Flood,2010-0619-BGR,90,0
Bulgaria,2012,Earthquake,2012-0152-BGR,210,0
Bulgaria,2012,Flood,2012-0033-BGR,37950,4400
Bulgaria,2014,Flood,2014-0128-BGR,0,0
Bulgaria,2014,Flood,2014-0210-BGR,1260,377000
Bulgaria,2014,Flood,2014-0280-BGR,7247,0
Bulgaria,2014,Flood,2014-0368-BGR,0,10000
Bulgaria,2014,Storm,2014-0404-BGR,40,545000
Bulgaria,2015,Flood,2015-0038-BGR,0,5800
Bulgaria,2018,Flood,2018-0220-BGR,600,0
Bulgaria,2021,Flood,2021-0020-BGR,25,0
Bulgaria,2022,Flood,2022-0585-BGR,10937,47000
Bulgaria,2023,Flood,2023-0582-BGR,4000,0
Bulgaria,2023,Storm,2023-0761-BGR,0,0
Bulgaria,2023,Storm,2023-0804-BGR,36,0
Costa Rica,2001,Flood,2001-0738-CRI,1437,0
Costa Rica,2002,Flood,2002-0263-CRI,20000,1000
Costa Rica,2002,Flood,2002-0755-CRI,75040,0
Costa Rica,2003,Earthquake,2003-0628-CRI,135,0
Costa Rica,2003,Flood,2003-0659-CRI,2500,0
Costa Rica,2004,Earthquake,2004-0599-CRI,280,0
Costa Rica,2004,Flood,2004-0214-CRI,2056,0
Costa Rica,2004,Flood,2004-0556-CRI,1000,0
Costa Rica,2005,Flood,2005-0021-CRI,2143,25000
Costa Rica,2005,Flood,2005-0550-CRI,855,0
Costa Rica,2005,Storm,2005-0567-CRI,1074,20000
Costa Rica,2007,Flood,2007-0466-CRI,12500,0
Costa Rica,2007,Flood,2007-0503-CRI,12000,80000
Costa Rica,2008,Flood,2008-0427-CRI,9498,0
Costa Rica,2008,Flood,2008-0484-CRI,92000,0
Costa Rica,2008,Flood,2008-0551-CRI,53000,22000
Costa Rica,2008,Storm,2008-0234-CRI,55000,0
Costa Rica,2009,Earthquake,2009-0002-CRI,128618,200000
Costa Rica,2010,Flood,2010-0470-CRI,106,0
Costa Rica,2010,Flood,2010-0575-CRI,3000,0
Costa Rica,2011,Flood,2011-0386-CRI,46695,0
Costa Rica,2012,Earthquake,2012-0343-CRI,762,45000
Costa Rica,2012,Flood,2012-0281-CRI,9523,0
Costa Rica,2015,Drought,2014-9580-CRI,0,0
Costa Rica,2015,Flood,2015-0237-CRI,9666,0
Costa Rica,2016,Storm,2016-0433-CRI,50000,0
Costa Rica,2017,Storm,2017-0410-CRI,11500,185000
Costa Rica,2018,Flood,2018-0374-CRI,125190,0
Costa Rica,2019,Drought,2018-9277-CRI,0,0
Costa Rica,2020,Storm,2020-0474-CRI,25000,0
Costa Rica,2021,Flood,2021-0446-CRI,200000,0
Costa Rica,2022,Storm,2022-0647-CRI,300000,0
Costa Rica,2024,Flood,2024-0877-CRI,1098668,0
Costa Rica,2024,Storm,2024-0822-CRI,0,980
Costa Rica,2024,Storm,2024-0857-CRI,3418,0
Djibouti,2001,Drought,1999-9388-DJI,100000,0
Djibouti,2004,Flood,2004-0158-DJI,100000,0
Djibouti,2005,Drought,2005-9213-DJI,150000,0
Djibouti,2007,Drought,2007-9676-DJI,42750,0
Djibouti,2008,Drought,2008-9303-DJI,340000,0
Djibouti,2010,Drought,2010-9082-DJI,200258,0
Djibouti,2018,Storm,2018-0145-DJI,25000,0
Djibouti,2019,Flood,2019-0579-DJI,250000,0
Djibouti,2020,Flood,2020-0150-DJI,110000,0
Djibouti,2022,Drought,2022-9370-DJI,192168,0
El Salvador,2001,Drought,2001-9383-SLV,400000,22400
El Salvador,2001,Earthquake,2001-0013-SLV,1334529,1500000
El Salvador,2001,Earthquake,2001-0042-SLV,256021,348500
El Salvador,2001,Flood,2001-0561-SLV,1000,0
El Salvador,2002,Flood,2002-0337-SLV,100,0
El Salvador,2002,Storm,2002-0851-SLV,500,0
El Salvador,2005,Earthquake,2005-0240-SLV,751,0
El Salvador,2005,Flood,2005-0348-SLV,2332,0
El Salvador,2005,Flood,2005-0593-SLV,0,0
El Salvador,2005,Storm,2005-0567-SLV,72141,355700
El Salvador,2005,Storm,2005-0732-SLV,0,0
El Salvador,2006,Earthquake,2006-0699-SLV,16470,0
El Salvador,2007,Flood,2007-0503-SLV,500,0
El Salvador,2007,Storm,2007-0439-SLV,2800,0
El Salvador,2008,Flood,2008-0282-SLV,0,0
El Salvador,2008,Flood,2008-0484-SLV,3000,0
El Salvador,2009,Drought,2009-9415-SLV,0,27000
El Salvador,2009,Storm,2009-0477-SLV,90000,939000
El Salvador,2010,Storm,2010-0211-SLV,11253,20000
El Salvador,2010,Storm,2010-0260-SLV,500,0
El Salvador,2010,Storm,2010-0503-SLV,0,0
El Salvador,2011,Flood,2011-0386-SLV,300000,1000000
El Salvador,2015,Drought,2014-9580-SLV,700000,100000
El Salvador,2015,Flood,2015-0446-SLV,0,0
El Salvador,2015,Storm,2015-0198-SLV,20000,0
El Salvador,2017,Storm,2017-0410-SLV,584,0
El Salvador,2018,Drought,2018-9277-SLV,386610,37000
El Salvador,2018,Earthquake,2018-0321-SLV,2499,0
El Salvador,2018,Flood,2018-0374-SLV,7099,0
El Salvador,2019,Earthquake,2019-0233-SLV,160,0
El Salvador,2020,Storm,2020-0218-SLV,149840,220000
El Salvador,2020,Storm,2020-0474-SLV,0,0
El Salvador,2020,Storm,2020-0495-SLV,0,0
El Salvador,2021,Flood,2021-0590-SLV,300,0
El Salvador,2022,Storm,2022-0400-SLV,100,0
El Salvador,2022,Storm,2022-0647-SLV,9273,17000
El Salvador,2023,Storm,2023-0703-SLV,500,0
El Salvador,2024,Storm,2024-0395-SLV,8570,0
El Salvador,2024,Storm,2024-0857-SLV,480,0
Ethiopia,2001,Flood,2001-0448-ETH,31000,0
Ethiopia,2001,Flood,2001-0464-ETH,6000,0
Ethiopia,2001,Flood,2001-0769-ETH,2500,0
Ethiopia,2002,Flood,2002-0225-ETH,4000,0
Ethiopia,2003,Drought,2003-9772-ETH,12600000,0
Ethiopia,2003,Flood,2003-0204-ETH,110000,0
Ethiopia,2005,Drought,2005-9747-ETH,2600000,0
Ethiopia,2005,Flood,2005-0215-ETH,235418,5000
Ethiopia,2005,Flood,2005-0258-ETH,0,1200
Ethiopia,2005,Flood,2005-0472-ETH,7000,0
Ethiopia,2005,Flood,2005-0485-ETH,0,0
Ethiopia,2006,Flood,2006-0204-ETH,10000,0
Ethiopia,2006,Flood,2006-0422-ETH,10096,3200
Ethiopia,2006,Flood,2006-0436-ETH,450,0
Ethiopia,2006,Flood,2006-0438-ETH,8000,0
Ethiopia,2006,Flood,2006-0442-ETH,38000,0
Ethiopia,2006,Flood,2006-0489-ETH,6000,0
Ethiopia,2006,Flood,2006-0578-ETH,361600,0
Ethiopia,2007,Flood,2007-0273-ETH,5800,0
Ethiopia,2007,Flood,2007-0304-ETH,239586,0
Ethiopia,2008,Drought,2008-9200-ETH,6400000,0
Ethiopia,2008,Flood,2008-0219-ETH,845,0
Ethiopia,2008,Flood,2008-0386-ETH,91764,0
Ethiopia,2008,Flood,2008-0517-ETH,23831,0
